	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000187918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187922	0	0	0	0	0	0	0.24563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187942	0.14345	0.15556	0	0.59034	0.72719	0.10334	0.093891	0.081922	0.069144	0	0	0.12621	0.018324	0.036094	0	0.037183	0	0.32371	0.049376	0	0.19754	0.11698	0.11017	0.17223	0	0	0
ENSG00000187944	0.035342	0.10109	0.055101	0.27387	0.041067	0	0	0	0	0	0	0	0.71796	0.95684	1.438	0.20451	0.053488	0.29204	0.12818	0.17426	0.10396	0.074764	0.082932	0.073749	0	0.14258	0.14129
ENSG00000187950	0	0	0	0.0355	0.13026	0.025596	0.01397	0	0	0	0	0	0	0	0	0.046071	0.44643	0.24412	0.014562	0	0	0.016922	0	0.016705	0.022161	0.03216	0.03199
ENSG00000187951	0.81152	1.5918	1.1475	0.084	0.11691	0.69533	0.92346	0.58719	0.71175	0.044212	0	0.096793	1.5649	0.0005266	0.27368	0.032119	0.2122	0.87957	0.3447	0.4602	0.48441	1.8887	2.6441	1.6954	0.78294	1.0777	1.2042
ENSG00000187954	17.2807	21.6835	21.0346	23.4186	17.9153	18.168	15.3317	10.2343	15.4572	2.7754	10.6097	13.3478	12.3651	13.5799	11.3919	27.2762	22.6446	22.0939	15.0289	10.1155	6.5527	11.8784	24.4536	30.9998	15.0567	11.7905	15.0027
ENSG00000187955	0.051385	0.030458	0.049109	0.77455	0.50181	0.2821	0	0	0	0	0	0	0.053612	0.047494	0.017666	1.4352	1.0211	1.3984	4.113	6.2146	4.6389	0.20191	0.66911	0.47775	20.5618	13.7503	12.1129
ENSG00000187957	0.78707	0.86321	0.52196	0	0.038997	0.10732	0	0	0.070973	0.0075289	0	0	0.042725	0.025237	0.013941	10.2479	15.2451	11.9847	6.1021	6.321	6.5324	0.035465	0.058998	0.052514	24.3658	34.3895	33.9505
ENSG00000187959	0	0.13931	0	0	0	0	0	0	0	0.049793	0.45885	0.036467	0	0	0	0.18101	0.96509	1.2353	0	0.20389	0	0.3107	0.28789	0.25478	0	0	0
ENSG00000187961	0.47663	0.76159	1.1583	1.6184	0.95653	1.5827	1.3527	1.2062	1.4996	0.59443	1.0517	1.6133	0.7326	0.69375	0.36786	3.3325	1.7491	1.947	2.6269	1.7739	0.71718	1.1135	2.192	2.9813	1.7443	1.0215	2.9716
ENSG00000187969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187980	0.084036	0.016044	0.026213	0.037333	0.03914	0.053857	0.10285	0.022993	0.02377	0.32591	0.08634	0.051863	0.085762	0.076108	0.055983	0	0.050962	0.01735	0.015313	0	0	0	0	0	0.046614	0.050822	0
